TECHNICAL SKILLS

Programming Languages,AWK
Programming Languages,C
Programming Languages,C++
Programming Languages,Expect
Programming Languages,Go
Programming Languages,Java
Programming Languages,Perl
Programming Languages,Python
Programming Languages,Ruby
Programming Languages,Tcl/Tk
Programming Languages,assembly languages
Programming Languages,yacc & lex

Professional Certification,AWS Certified DevOps Engineer - Professional Level / AWS: AWS-PDOE-1447
Professional Certification,AWS Certified Developer - Associate / AWS: AWS-ADEV-5875
Professional Certification,AWS Certified Solutions Architect - Associate Level / AWS: AWS-ASA-26486
Professional Certification,AWS Certified SysOps Administrator - Associate Level / AWS: AWS-ASOA-5593
Professional Certification,Certified OpenStack Administrator / OpenStack: COA-1600-0240-0100
Professional Certification,Sun Certified Java Developer (SCJD)
Professional Certification,Sun Certified Java Programmer (SCJP)

Configuration Management,Ansible
Configuration Management,Berkshelf
Configuration Management,CFEngine
Configuration Management,Chef
Configuration Management,Rundeck
Configuration Management,Vagrant

Virtualization,Docker (containers)
Virtualization,KVM (kernel-based virtual machines)
Virtualization,VMware ESXi
Virtualization,VirtualBox
Virtualization,Xen

Cloud Computing,Amazon Web Services
Cloud Computing,OpenStack
Cloud Computing,Rackspace

Release Engineering,Apache Subversion
Release Engineering,Concurrent Versions System (CVS)
Release Engineering,GitHub
Release Engineering,GitHub Enterprise
Release Engineering,IBM Rational ClearCase
Release Engineering,Mercurial
Release Engineering,Perforce

Operating Systems,CentOS Linux
Operating Systems,Debian Linux
Operating Systems,Embedded Linux
Operating Systems,Enea OSE
Operating Systems,ExpressLogic ThreadX
Operating Systems,Fedora Linux
Operating Systems,FreeBSD
Operating Systems,HP HP-UX
Operating Systems,IBM AIX
Operating Systems,Microsoft Windows
Operating Systems,NetBSD
Operating Systems,Red Hat Enterprise Linux
Operating Systems,Scientific Linux
Operating Systems,SuSE Linux
Operating Systems,Sun Solaris
Operating Systems,Ubuntu Linux
Operating Systems,Wind River VxWorks

Database Engines,Apache Cassandra
Database Engines,Hypersonic SQL
Database Engines,IBM DB2
Database Engines,IBM Informix
Database Engines,Microsoft SQL Server
Database Engines,MySQL
Database Engines,Oracle
Database Engines,PostgreSQL
Database Engines,PostgreSQL

Network Management,HP OpenView
Network Management,IBM Tivoli NetView
Network Management,SNMP MIB design & agent development
